,job_id,skills
860,J185,Django
861,J185,Flask
862,J186,Python
863,J186,Django
864,J186,SQL
865,J186,React Native
866,J186,AWS
867,J187,Product Management
868,J188,Node.js
869,J188,React.js
870,J188,JavaScript
871,J189,C++
872,J190,Android
873,J190,Hybrid Apps
874,J190,iOS
875,J191,.NET
876,J191,Angular
877,J191,C#
878,J191,AWS
879,J191,JavaScript
880,J192,JavaScript
881,J192,Architecture
882,J192,Angular
883,J192,AWS
884,J192,Azure
885,J193,Python
886,J193,Data Structures
887,J193,Algorithms
888,J193,SQL
889,J193,React.js
890,J194,Python
891,J194,JavaScript
892,J194,Java
893,J194,React.js
894,J194,Golang
895,J195,Linux
896,J195,AWS
897,J195,Azure
898,J195,Docker
899,J195,Kubernetes
900,J195,New Relic
901,J196,Business Development
902,J196,Corporate Sales
903,J196,Direct Sales
904,J196,International Sales
905,J196,Sales
906,J196,Telecalling
907,J197,Angular
908,J197,ASP.NET
909,J197,.NET
910,J197,HTML
911,J197,CSS
912,J198,Java
913,J198,Machine Learning
914,J198,NLP
915,J198,NLTK
916,J198,Python
917,J199,Sales
918,J199,Sales Enablement
919,J200,Java
920,J200,Spring
921,J201,Product Management
922,J201,Customer Service
923,J202,General Management
924,J202,Strategic Planning
925,J202,Operations Management
926,J202,Program Management
927,J203,Financial Analysis
928,J203,Financial Reporting
929,J203,Cash Flow Management
930,J203,Accounting
931,J203,Finance
932,J204,Java
933,J204,Spring Boot
934,J204,AWS
935,J204,Microservices
936,J205,Direct Sales
937,J205,Sales
938,J205,Branch Management
939,J205,Field Work
940,J206,Palo Alto
941,J207,Java
942,J207,Kafka
943,J207,Spring
944,J208,Python
945,J208,Machine Learning
946,J208,SQL
947,J208,AWS
948,J208,Java
949,J209,Big Data
950,J209,Golang
951,J209,Java
952,J209,Hibernate
953,J209,Spring
954,J210,Flutter
955,J211,Bash
956,J212,Investment Advisory
957,J212,Mutual Funds
958,J212,HNI
959,J212,Insurance Broking
960,J212,Fund Management
961,J213,Auditing
962,J213,Risk Assessment
963,J213,Vendor Management
964,J214,Java
965,J214,REST Assured
966,J214,SDET
967,J214,Microservices
968,J214,AWS
969,J215,.NET
970,J216,PKI
971,J217,.NET
972,J217,React.js
973,J218,2D Animation
974,J218,3D Animation
975,J218,Graphic Design
976,J218,Corel Draw
977,J218,Illustrator
978,J218,InDesign
979,J218,Photoshop
980,J219,Google Ads
981,J219,SEM
982,J219,SEO
983,J220,CSS
984,J220,HTML
985,J220,JavaScript
986,J220,Angular
987,J221,Java
988,J221,Spring
989,J221,Hibernate
990,J222,Customer Interaction
991,J222,Customer Relationship
992,J222,Customer Service
993,J222,Key Account Management
994,J223,Business Development
995,J223,Sales
996,J224,AWS
997,J224,Terraform
998,J224,Jenkins
999,J224,Ansible
1000,J224,Helm
1001,J225,Content Marketing
1002,J225,Content Writing
1003,J225,English Content
1004,J226,CrowdStrike
1005,J227,.NET
1006,J227,C#
1007,J227,Angular
1008,J227,Azure
1009,J228,JavaScript
1010,J228,React.js
1011,J229,JavaScript
1012,J229,React.js
1013,J230,Business Development
1014,J230,Sales
1015,J231,2D Animation
1016,J231,3D Animation
1017,J231,Graphic Design
1018,J231,Corel Draw
1019,J231,Illustrator
1020,J231,Photoshop
1021,J232,Node.js
1022,J232,Python
1023,J233,Product Management
1024,J234,Product Management
1025,J234,Credit Management
1026,J235,Product Management
1027,J236,SQL
1028,J236,Google Analytics
1029,J236,Looker
1030,J236,ETL
1031,J236,Power BI
1032,J237,ASP.NET
1033,J237,Angular
1034,J237,.NET
1035,J237,C#
1036,J237,Entity Framework
1037,J238,Business Development
1038,J238,International Sales
1039,J238,Sales
1040,J239,Java
1041,J239,Node.js
1042,J239,Python
1043,J239,Data Structures
1044,J239,Algorithms
1045,J240,PHP
1046,J240,Laravel
1047,J240,CodeIgniter
1048,J241,Power BI
1049,J242,SAP HANA
1050,J243,Manual Testing
1051,J243,Selenium
1052,J243,Mobile Apps Testing
1053,J243,Java
1054,J243,Agile
1055,J244,Python
1056,J244,Hive
1057,J244,Spark
1058,J244,ETL
1059,J244,Spark SQL
1060,J245,Android
1061,J246,Java
1062,J246,Microservices
1063,J246,AWS
1064,J246,Spring Boot
1065,J246,Engineering Management
1066,J247,JavaScript
1067,J247,React.js
1068,J247,HTML
1069,J247,CSS
1070,J247,TypeScript
1071,J248,Consumer Software
1072,J248,Product Management
1073,J249,MySQL
1074,J250,Java
1075,J250,Spring Boot
1076,J250,Microservices
1077,J250,React.js
1078,J250,Multithreading
1079,J251,Power BI
1080,J252,Content Marketing
1081,J252,Facebook Marketing
1082,J252,Social Media Marketing
1083,J253,Java
1084,J253,Engineering Management
1085,J253,Python
1086,J253,JavaScript
1087,J253,Algorithms
1088,J254,Node.js
1089,J256,Java
1090,J256,React.js
1091,J256,Spring
1092,J256,Agile
1093,J256,Data Structures
1094,J257,Financial Planning
1095,J257,Budgeting
1096,J257,Risk Management
1097,J257,Compliance Management
