,company_name,estab_year,employees_count,emp_overall_rating,emp_wl_bal_rating,emp_salary_n_benefits_rating,emp_comp_culture_rating,emp_career_growth_rating,emp_diversity_n_inclusion_rating,emp_likely_to_recomm_rating
64,ADOS Interiors,2014,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
65,AHAsolar,2017,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
66,Allen Career Institute,1988,1000+,4.0,3.4,3.7,4.0,4.0,4.2,3.9
67,IDP Education,1969,1000+,3.9,3.8,3.7,3.9,3.7,3.9,4.0
68,Quince,2018,50 - 200,2.0,1.0,3.0,1.0,2.5,3.0,4.0
69,Volvo Martial Motors,2012,200 - 500,4.0,3.8,3.7,4.0,3.9,4.0,4.0
70,7-Eleven,1927,1000+,3.3,2.8,2.9,3.0,3.0,3.5,2.5
71,Bidgely,2010,200 - 500,4.0,3.5,3.9,3.8,3.8,3.9,4.0
72,Certa,2013,50 - 200,4.4,3.9,4.3,4.3,4.3,4.4,4.2
73,Emporiom Digital,2014,10 - 50,4.0,3.8,3.7,4.0,3.9,4.0,4.0
74,Lumen Technologies,1968,1000+,3.9,4.3,3.4,4.0,3.6,4.0,4.1
75,Mystifly,2009,200 - 500,3.8,3.8,3.5,3.8,3.7,4.3,3.7
76,NeoSOFT Technologies,1996,1000+,4.0,3.8,3.7,4.0,3.9,4.0,4.0
77,Sundial,2020,10 - 50,2.7,4.0,3.5,4.1,3.0,2.6,4.0
78,Deloitte,1845,1000+,4.1,3.4,4.0,4.2,4.1,4.3,4.3
79,Gumlet,2019,10 - 50,5.0,5.0,5.0,5.0,5.0,5.0,5.0
80,Hub,2021,50 - 200,3.9,3.9,3.5,4.0,3.8,4.0,3.9
81,PACE Group Of Companies,1995,500 - 1000,4.3,4.2,3.7,3.8,4.5,4.7,4.2
82,Scaler Academy,2019,50 - 200,4.2,3.9,4.4,4.2,4.2,4.2,4.2
83,TrekNomads,2016,0 - 10,4.0,3.8,3.7,4.0,3.9,4.0,4.0
84,Neuralgo,2023,0 - 10,4.0,3.8,3.7,4.0,3.9,4.0,4.0
85,Playtoome,2016,10 - 50,3.7,3.0,3.1,3.5,3.4,3.3,3.2
86,PrivateCircle,2015,10 - 50,3.8,3.4,3.2,3.5,3.4,2.7,3.8
87,3 Minds Digital,2016,10 - 50,4.7,4.2,3.9,4.9,4.7,4.7,5.0
88,Apexon,1996,1000+,4.1,4.1,3.8,4.0,4.0,4.0,4.3
89,Barco,1934,1000+,3.8,3.9,3.4,3.7,3.5,3.7,3.8
90,BetterPlace,2015,500 - 1000,3.8,5.0,3.2,5.0,3.4,2.6,5.0
91,Bizongo,2014,200 - 500,2.2,2.6,2.7,2.3,2.2,3.5,1.0
92,UnionSys Technologies,2008,50 - 200,3.9,4.3,4.1,4.1,4.3,4.1,5.0
